Chromosome,Locus_N°,Start,End,Region size, Barcode,PU.Fw,PU.Rev,Nbr_Probes
chr3L,1,8883000,8893000,10000,revMer1,BB287.Fw,BB288.Rev,164
chr3L,2,8893000,8903000,10000,revcompMer2,BB287.Fw,BB288.Rev,179
chr3L,3,8903000,8913000,10000,revMer3,BB287.Fw,BB288.Rev,196
chr3L,4,8913000,8923000,10000,revMer7,BB287.Fw,BB288.Rev,140
chr3L,5,8923000,8933000,10000,revMer8,BB287.Fw,BB288.Rev,137
chr3L,6,8933000,8943000,10000,revMer9,BB287.Fw,BB288.Rev,119
chr3L,7,8943000,8953000,10000,revMer10,BB287.Fw,BB288.Rev,143
chr3L,8,8953000,8963000,10000,revMer11,BB287.Fw,BB288.Rev,175
chr3L,9,8963000,8973000,10000,revMer12,BB287.Fw,BB288.Rev,196
chr3L,10,8973000,8983000,10000,revMer13,BB287.Fw,BB288.Rev,183
chr3L,11,8983000,8993000,10000,revMer14,BB287.Fw,BB288.Rev,152
chr3L,12,8993000,9003000,10000,revMer15,BB287.Fw,BB288.Rev,189
chr3L,13,9003000,9013000,10000,revMer16,BB287.Fw,BB288.Rev,165
chr3L,14,9013000,9023000,10000,revMer17,BB287.Fw,BB288.Rev,169
chr3L,15,9023000,9033000,10000,revMer18,BB287.Fw,BB288.Rev,168
chr3L,16,9033000,9043000,10000,revMer19,BB287.Fw,BB288.Rev,166
chr3L,17,9043000,9053000,10000,revMer20,BB287.Fw,BB288.Rev,163
chr3L,18,9053000,9063000,10000,revMer21,BB287.Fw,BB288.Rev,158
chr3L,19,9063000,9073000,10000,revMer23,BB287.Fw,BB288.Rev,158
chr3L,20,9073000,9083000,10000,revMer24,BB287.Fw,BB288.Rev,83
